"","gene","variable","value","region","stage"
"175","Solyc01g095560.2.1","a1.SAM",-0.741877246217422,"SAM","1"
"176","Solyc01g110180.2.1","a1.SAM",-0.773320208395914,"SAM","1"
"177","Solyc02g050240.2.1","a1.SAM",-0.587576660311091,"SAM","1"
"178","Solyc02g069870.1.1","a1.SAM",-0.175074767351431,"SAM","1"
"179","Solyc02g085320.1.1","a1.SAM",-1.58098285236186,"SAM","1"
"180","Solyc02g092770.2.1","a1.SAM",-0.771010061188182,"SAM","1"
"181","Solyc03g083880.2.1","a1.SAM",-0.748986722069069,"SAM","1"
"182","Solyc03g110890.1.1","a1.SAM",-0.671777179685003,"SAM","1"
"183","Solyc04g014830.1.1","a1.SAM",-1.52054816703185,"SAM","1"
"184","Solyc05g007640.2.1","a1.SAM",-0.4708233842278,"SAM","1"
"185","Solyc05g043410.1.1","a1.SAM",-0.894584327765452,"SAM","1"
"186","Solyc05g055540.1.1","a1.SAM",-1.08742421145959,"SAM","1"
"187","Solyc06g071610.1.1","a1.SAM",-0.827010688912149,"SAM","1"
"188","Solyc06g074240.1.1","a1.SAM",-0.615401512958299,"SAM","1"
"189","Solyc07g005170.1.1","a1.SAM",-0.402374304069338,"SAM","1"
"190","Solyc07g008440.2.1","a1.SAM",-0.516473415577518,"SAM","1"
"191","Solyc07g043250.1.1","a1.SAM",-0.632495040433501,"SAM","1"
"192","Solyc07g047640.2.1","a1.SAM",-0.444775722030675,"SAM","1"
"193","Solyc07g049550.2.1","a1.SAM",-0.436165250108225,"SAM","1"
"194","Solyc08g016310.2.1","a1.SAM",0.0472700959053026,"SAM","1"
"195","Solyc08g022180.1.1","a1.SAM",-0.736853294652245,"SAM","1"
"196","Solyc09g064490.1.1","a1.SAM",-0.443338218540465,"SAM","1"
"197","Solyc09g082550.2.1","a1.SAM",-1.18903229228078,"SAM","1"
"198","Solyc09g098250.2.1","a1.SAM",-1.52724641753864,"SAM","1"
"199","Solyc10g017610.1.1","a1.SAM",-1.61832362264044,"SAM","1"
"200","Solyc10g083410.1.1","a1.SAM",-0.0199208832165529,"SAM","1"
"201","Solyc11g031950.1.1","a1.SAM",-0.636301899126489,"SAM","1"
"202","Solyc11g040170.1.1","a1.SAM",0.451391988710766,"SAM","1"
"203","Solyc12g044180.1.1","a1.SAM",-0.460493492734883,"SAM","1"
"204","Solyc12g049500.1.1","a1.SAM",-0.862475560112325,"SAM","1"
"205","Solyc12g088640.1.1","a1.SAM",-0.614486278998249,"SAM","1"
"206","Solyc03g078120.2.1","a1.SAM",-0.47395597882031,"SAM","1"
"207","Solyc03g118450.1.1","a1.SAM",-0.976118702941009,"SAM","1"
"208","Solyc06g050160.2.1","a1.SAM",-0.783790583169298,"SAM","1"
"209","Solyc03g082550.2.1","a1.SAM",-0.444775722030675,"SAM","1"
"210","Solyc09g007710.2.1","a1.SAM",-0.595562948018381,"SAM","1"
"211","Solyc00g230080.1.1","a1.SAM",-0.834906776484868,"SAM","1"
"212","Solyc01g007780.2.1","a1.SAM",-0.592012431960275,"SAM","1"
"213","Solyc01g112050.2.1","a1.SAM",-0.474270048219489,"SAM","1"
"214","Solyc02g082050.2.1","a1.SAM",-0.658963321948411,"SAM","1"
"215","Solyc07g055020.2.1","a1.SAM",-0.564532242479803,"SAM","1"
"216","Solyc08g083400.2.1","a1.SAM",-0.852612526026853,"SAM","1"
"217","Solyc09g014860.2.1","a1.SAM",-0.458258913173015,"SAM","1"
"218","Solyc12g010720.1.1","a1.SAM",-0.826114402882961,"SAM","1"
"219","Solyc10g055730.1.1","a1.SAM",-0.66935529339409,"SAM","1"
"220","Solyc08g079190.1.1","a1.SAM",-0.649245768109021,"SAM","1"
"221","Solyc06g060530.1.1","a1.SAM",-0.474270048219489,"SAM","1"
"222","Solyc11g044250.1.1","a1.SAM",-0.462594717138522,"SAM","1"
"223","Solyc01g006250.1.1","b2.leaf",1.52848913010299,"leaf","1"
"224","Solyc01g006300.2.1","b2.leaf",1.367695308312,"leaf","1"
